Country,Year,Country,Intensity,Coal (GWh),Oil (GWh),Natural Gas (GWh),Biofuels (GWh),Waste (GWh),Nuclear (GWh),Hydro (GWh),Solar (GWh),Wind (GWh),Geothermal (GWh),Other (GWh),Tidal (GWh),Solar Thermal (GWh)
United Kingdom,2006,United Kingdom,520,150480,6174,140828,8194,3474,75451,8446,11,4225,0,0,0,0
United Kingdom,2007,United Kingdom,508,137491,5049,165793,8135,3110,63028,8936,14,5274,0,0,0,0
United Kingdom,2008,United Kingdom,502,125770,6709,176219,8327,3039,52486,9230,17,7122,0,0,0,0
United Kingdom,2009,United Kingdom,456,104447,5995,166499,9206,3296,69098,8913,20,9281,0,0,1,0
United Kingdom,2010,United Kingdom,463,108730,4805,175654,10734,2939,62140,6741,40,10286,0,0,2,0
United Kingdom,2011,United Kingdom,446,109446,3119,146499,11810,3325,68980,8597,244,15963,0,0,1,0
United Kingdom,2012,United Kingdom,494,144087,2892,100170,12962,3882,70405,8276,1354,19847,0,0,4,0
United Kingdom,2013,United Kingdom,459,131678,2067,95843,16453,3625,70607,7605,2010,28397,0,0,5,0
United Kingdom,2014,United Kingdom,416,101645,1919,100893,20720,4389,63748,8771,4054,31959,0,0,2,0
United Kingdom,2015,United Kingdom,366,76963,2037,99875,27372,6132,70345,9037,7533,40275,0,0,2,0
United Kingdom,2016,United Kingdom,288,31435,1891,143356,27326,7599,71726,8330,10395,37159,0,0,0,0
United Kingdom,2017,United Kingdom,255,23284,1616,136746,28509,7586,70336,8754,11457,49641,0,0,4,0
United Kingdom,2018,United Kingdom,242,17606,1572,131490,31464,7716,65064,7942,12736,56906,0,0,9,0
United Kingdom,2019,United Kingdom,225,7666,1477,138585,33504,8469,56184,7691,12918,64335,0,0,14,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sources used:,,,,,,,,,,,,,,,,
https://www.eea.europa.eu/data-and-maps/daviz/co2-emission-intensity-10#tab-googlechartid_googlechartid_googlechartid_googlechartid_chart_11111,,,,,,,,,,,,,,,,
https://www.iea.org/regions/europe,,,,,,,,,,,,,,,,
